,pathogen,memory_window,behaviour_function,r,alpha,vaccine_efficacy,final_cases,final_deaths,peak_cases,peak_deaths,epidemic_duration,vaccinations_administered
66,sarscov2,56,cases,1.0,1.0,0.25,89303.09308581843,489.6377418061184,24316.11860903789,489.6377418061184,243,82845.48293602435
67,sarscov2,56,cases,1.0,1.0,0.5,76060.86572411004,348.9624002125097,15870.68995407844,348.9624002125097,293,87643.35275628214
68,sarscov2,56,cases,1.0,1.0,0.9,10775.429044743127,54.145575761069765,1384.808248739271,54.145575761069765,306,92941.23869106913
69,sarscov2,56,cases,1.0,2.0,0.25,88287.09239510249,467.7867973900627,23067.167740631496,467.7867973900627,251,88939.64042417929
70,sarscov2,56,cases,1.0,2.0,0.5,70776.87877615816,293.1728139565196,12615.560747645748,293.1728139565196,329,93614.9938574845
71,sarscov2,56,cases,1.0,2.0,0.9,1341.427608529862,6.498171378467399,177.70874142160392,6.498171378467399,239,94781.47620499665
72,sarscov2,56,cases,2.0,0.0,0.25,88829.27461954381,479.7902179799868,23830.89705500885,479.7902179799868,245,90602.16555768793
73,sarscov2,56,cases,2.0,0.0,0.5,74230.44337282961,329.085496674954,14907.75171982783,329.085496674954,300,94532.7189258973
74,sarscov2,56,cases,2.0,0.0,0.9,9113.497963060046,45.46805498902289,1189.1918257059497,45.46805498902289,295,94636.3268400189
75,sarscov2,56,cases,2.0,1.0,0.25,87838.86564185354,458.67673999336967,22612.504831255683,458.67673999336967,254,94521.88646550692
76,sarscov2,56,cases,2.0,1.0,0.5,68796.39257157272,274.19545776758116,11676.838323428403,274.19545776758116,340,97807.8187053649
77,sarscov2,56,cases,2.0,1.0,0.9,1165.6086742483424,5.622526670512827,159.59580037617005,5.622526670512827,228,95566.96540193188
78,sarscov2,56,cases,2.0,2.0,0.25,87236.57928617473,446.02550749366435,21856.17531627271,446.02550749366435,259,96254.83813160489
79,sarscov2,56,cases,2.0,2.0,0.5,65393.92724115986,243.16374813792123,9810.866439136213,243.16374813792123,374,98936.00873775099
80,sarscov2,56,cases,2.0,2.0,0.9,326.79532306106745,1.5485010987640508,50.11611511483635,1.5485010987640508,178,95514.6967340818
81,sarscov2,56,deaths,0.0,0.0,0.25,94108.90111345668,600.4094834027405,30086.88221586075,600.4094834027405,217,0.0
82,sarscov2,56,deaths,0.0,0.0,0.5,94108.90111345668,600.4094834027405,30086.88221586075,600.4094834027405,217,0.0
83,sarscov2,56,deaths,0.0,0.0,0.9,94108.90111345668,600.4094834027405,30086.88221586075,600.4094834027405,217,0.0
84,sarscov2,56,deaths,0.0,1.0,0.25,91447.80313433812,537.3652808924819,26883.66624857614,537.3652808924819,229,56576.42222939373
85,sarscov2,56,deaths,0.0,1.0,0.5,85065.65334938775,461.2264900801255,22311.005921961296,461.2264900801255,248,61558.12267472764
86,sarscov2,56,deaths,0.0,1.0,0.9,56667.039339216746,321.7295855496815,12377.643488241558,321.7295855496815,261,70121.68986280377
87,sarscov2,56,deaths,0.0,2.0,0.25,89714.22218026812,498.511097316987,24785.82805556031,498.511097316987,240,75533.04587161598
88,sarscov2,56,deaths,0.0,2.0,0.5,77390.8111491826,364.1193066732395,16802.48722312011,364.1193066732395,283,82294.74644821732
89,sarscov2,56,deaths,0.0,2.0,0.9,17097.13494614819,86.87280578163684,2483.259202099702,86.87280578163684,291,93223.03472146305
90,sarscov2,56,deaths,1.0,0.0,0.25,91010.02898775166,527.5057337978067,26382.70361335372,527.5057337978067,232,67413.7241771022
91,sarscov2,56,deaths,1.0,0.0,0.5,83725.97222703684,443.0238283211568,21273.579206404334,443.0238283211568,254,70799.25214366765
92,sarscov2,56,deaths,1.0,0.0,0.9,51635.45826102901,289.5128136478206,10512.261589008733,289.5128136478206,273,73580.0003213479
93,sarscov2,56,deaths,1.0,1.0,0.25,89290.1086754243,489.49253890870244,24326.22887968239,489.49253890870244,242,84002.72477845819
94,sarscov2,56,deaths,1.0,1.0,0.5,75887.04580317978,347.1254292888327,15879.206474892868,347.1254292888327,291,89442.40586207424
95,sarscov2,56,deaths,1.0,1.0,0.9,12698.604716934837,63.87810459320774,1737.7288809726087,63.87810459320774,295,94077.5360758803
96,sarscov2,56,deaths,1.0,2.0,0.25,88196.36125615753,466.0396352461608,22995.999871703287,466.0396352461608,250,90377.72944485188
97,sarscov2,56,deaths,1.0,2.0,0.5,70019.77253827293,285.88446261349327,12341.05037445185,285.88446261349327,329,95334.50688208977
98,sarscov2,56,deaths,1.0,2.0,0.9,1976.3688716734432,9.52172698733697,280.2813729735452,9.52172698733697,235,96486.96226564182
99,sarscov2,56,deaths,2.0,0.0,0.25,88829.27461954381,479.7902179799868,23830.89705500885,479.7902179799868,245,90602.16555768793
100,sarscov2,56,deaths,2.0,0.0,0.5,74230.44337282961,329.085496674954,14907.75171982783,329.085496674954,300,94532.7189258973
101,sarscov2,56,deaths,2.0,0.0,0.9,9113.497963060046,45.46805498902289,1189.1918257059497,45.46805498902289,295,94636.3268400189
102,sarscov2,56,deaths,2.0,1.0,0.25,87813.10405306614,458.21492637613466,22594.456728943274,458.21492637613466,253,94841.02660711228
103,sarscov2,56,deaths,2.0,1.0,0.5,68514.93198924839,271.5953124099691,11585.700962008,271.5953124099691,340,98122.27115533089
104,sarscov2,56,deaths,2.0,1.0,0.9,1445.5923452579095,6.9538169763121305,204.40311669132785,6.9538169763121305,227,96365.02105236273
105,sarscov2,56,deaths,2.0,2.0,0.25,87166.19079490649,444.6602482261554,21793.22963786695,444.6602482261554,259,96708.17281960663
106,sarscov2,56,deaths,2.0,2.0,0.5,64789.436131823546,237.97119180553824,9569.079194178194,237.97119180553824,376,99205.0664825495
107,sarscov2,56,deaths,2.0,2.0,0.9,469.9778802336099,2.2133269492237106,75.38149365816408,2.2133269492237106,180,96826.07421947697
108,sarscov2,28,cases,0.0,0.0,0.25,94108.90111345668,600.4094834027405,30086.88221586075,600.4094834027405,217,0.0
109,sarscov2,28,cases,0.0,0.0,0.5,94108.90111345668,600.4094834027405,30086.88221586075,600.4094834027405,217,0.0
110,sarscov2,28,cases,0.0,0.0,0.9,94108.90111345668,600.4094834027405,30086.88221586075,600.4094834027405,217,0.0
111,sarscov2,28,cases,0.0,1.0,0.25,91390.9002719851,535.8288066154521,26745.776804986872,535.8288066154521,231,52878.80665109967
112,sarscov2,28,cases,0.0,1.0,0.5,84840.07496302517,457.965800828279,21975.429161784916,457.965800828279,252,55248.61390593061
113,sarscov2,28,cases,0.0,1.0,0.9,53442.5903365895,301.4976035338989,11011.485551520442,301.4976035338989,275,66997.21359250517
114,sarscov2,28,cases,0.0,2.0,0.25,89789.32413981328,499.81983654462056,24789.237145695624,499.81983654462056,241,70214.29966116283
115,sarscov2,28,cases,0.0,2.0,0.5,77904.65318342425,369.7919368184627,16860.960375497518,369.7919368184627,287,74508.65491758235
116,sarscov2,28,cases,0.0,2.0,0.9,12934.410425354521,65.57445864712585,1633.566261689263,65.57445864712585,322,90314.54241245404
117,sarscov2,28,cases,1.0,0.0,0.25,91010.02898775166,527.5057337978067,26382.70361335372,527.5057337978067,232,67413.7241771022
118,sarscov2,28,cases,1.0,0.0,0.5,83725.97222703684,443.0238283211568,21273.579206404334,443.0238283211568,254,70799.25214366765
119,sarscov2,28,cases,1.0,0.0,0.9,51635.45826102901,289.5128136478206,10512.261589008733,289.5128136478206,273,73580.0003213479
120,sarscov2,28,cases,1.0,1.0,0.25,89314.92240451035,489.86909873211044,24325.246773892875,489.86909873211044,243,82227.75522577846
121,sarscov2,28,cases,1.0,1.0,0.5,76128.89240355126,349.6981805269627,15897.057240940314,349.6981805269627,293,87130.3238955197
122,sarscov2,28,cases,1.0,1.0,0.9,10882.03735916273,54.71603659552984,1394.0806842262305,54.71603659552984,308,92767.26544531337
123,sarscov2,28,cases,1.0,2.0,0.25,88308.0108584916,468.194582462796,23085.920185348372,468.194582462796,251,88293.8262514785
124,sarscov2,28,cases,1.0,2.0,0.5,70925.41482870333,294.6108707534177,12676.670366237573,294.6108707534177,329,93205.16282136532
125,sarscov2,28,cases,1.0,2.0,0.9,1368.1534457935004,6.634525632443516,179.58126128184824,6.634525632443516,242,94552.84711818665
126,sarscov2,28,cases,2.0,0.0,0.25,88829.27461954381,479.7902179799868,23830.89705500885,479.7902179799868,245,90602.16555768793
127,sarscov2,28,cases,2.0,0.0,0.5,74230.44337282961,329.085496674954,14907.75171982783,329.085496674954,300,94532.7189258973
128,sarscov2,28,cases,2.0,0.0,0.9,9113.497963060046,45.46805498902289,1189.1918257059497,45.46805498902289,295,94636.3268400189
129,sarscov2,28,cases,2.0,1.0,0.25,87848.89927870496,458.87322876154906,22621.725678891074,458.87322876154906,253,94298.56861647892
130,sarscov2,28,cases,2.0,1.0,0.5,68870.85584130313,274.88789767894315,11708.06417509422,274.88789767894315,340,97735.2832531001
131,sarscov2,28,cases,2.0,1.0,0.9,1176.457045266408,5.67784661148314,160.38050401573577,5.67784661148314,229,95440.0215086594
132,sarscov2,28,cases,2.0,2.0,0.25,87252.90988351808,446.3454505186645,21871.790447773375,446.3454505186645,259,96072.73869208069
133,sarscov2,28,cases,2.0,2.0,0.5,65523.43977510233,244.2848089729554,9868.116468620447,244.2848089729554,373,98869.99167247537
134,sarscov2,28,cases,2.0,2.0,0.9,331.1892094260213,1.571005874365175,50.393608122154774,1.571005874365175,180,95318.01321344894
135,sarscov2,28,deaths,0.0,0.0,0.25,94108.90111345668,600.4094834027405,30086.88221586075,600.4094834027405,217,0.0
136,sarscov2,28,deaths,0.0,0.0,0.5,94108.90111345668,600.4094834027405,30086.88221586075,600.4094834027405,217,0.0
137,sarscov2,28,deaths,0.0,0.0,0.9,94108.90111345668,600.4094834027405,30086.88221586075,600.4094834027405,217,0.0
138,sarscov2,28,deaths,0.0,1.0,0.25,91453.12850467928,537.4744428117867,26887.59050201057,537.4744428117867,229,55325.53323047668
139,sarscov2,28,deaths,0.0,1.0,0.5,85079.47315370964,461.40741389139396,22316.7991367899,461.40741389139396,248,60211.696746456226
140,sarscov2,28,deaths,0.0,1.0,0.9,56671.920382434,321.76548351575804,12378.473217351095,321.76548351575804,262,70112.85986254294
141,sarscov2,28,deaths,0.0,2.0,0.25,89729.38786058867,498.81373014531783,24798.474853866217,498.81373014531783,240,73899.45204167835
142,sarscov2,28,deaths,0.0,2.0,0.5,77454.80807438571,364.8258043586268,16825.87310600599,364.8258043586268,283,80754.54062441277
143,sarscov2,28,deaths,0.0,2.0,0.9,17118.41814882738,86.99272783998676,2485.0482638369217,86.99272783998676,292,93145.42742546814
144,sarscov2,28,deaths,1.0,0.0,0.25,91010.02898775166,527.5057337978067,26382.70361335372,527.5057337978067,232,67413.7241771022
145,sarscov2,28,deaths,1.0,0.0,0.5,83725.97222703684,443.0238283211568,21273.579206404334,443.0238283211568,254,70799.25214366765
146,sarscov2,28,deaths,1.0,0.0,0.9,51635.45826102901,289.5128136478206,10512.261589008733,289.5128136478206,273,73580.0003213479
147,sarscov2,28,deaths,1.0,1.0,0.25,89297.88652946372,489.6465857898051,24332.835217369877,489.6465857898051,242,83398.08167883201
148,sarscov2,28,deaths,1.0,1.0,0.5,75922.6503796645,347.50638147071913,15892.16458786953,347.50638147071913,291,88908.04361598636
149,sarscov2,28,deaths,1.0,1.0,0.9,12708.42984227872,63.93196754559557,1738.4958915825011,63.93196754559557,295,94015.92762818966
150,sarscov2,28,deaths,1.0,2.0,0.25,88212.13404550028,466.3492467678909,23010.1649143748,466.3492467678909,250,89739.29452540993
151,sarscov2,28,deaths,1.0,2.0,0.5,70118.20542381852,286.8135711421667,12376.553105973431,286.8135711421667,329,94929.37856805386
152,sarscov2,28,deaths,1.0,2.0,0.9,1979.395643428421,9.53753770171155,280.46078387361916,9.53753770171155,235,96408.84544500797
153,sarscov2,28,deaths,2.0,0.0,0.25,88829.27461954381,479.7902179799868,23830.89705500885,479.7902179799868,245,90602.16555768793
154,sarscov2,28,deaths,2.0,0.0,0.5,74230.44337282961,329.085496674954,14907.75171982783,329.085496674954,300,94532.7189258973
155,sarscov2,28,deaths,2.0,0.0,0.9,9113.497963060046,45.46805498902289,1189.1918257059497,45.46805498902289,295,94636.3268400189
156,sarscov2,28,deaths,2.0,1.0,0.25,87820.62108970864,458.3621457688698,22601.05890715304,458.3621457688698,253,94664.81133009777
157,sarscov2,28,deaths,2.0,1.0,0.5,68565.08363951521,272.05449877954135,11604.35820249725,272.05449877954135,340,98037.05010619314
158,sarscov2,28,deaths,2.0,1.0,0.9,1446.6916551462416,6.959548595551235,204.46733332029947,6.959548595551235,227,96327.37534664248
159,sarscov2,28,deaths,2.0,2.0,0.25,87179.56475636124,444.922490447419,21806.545137139667,444.922490447419,259,96523.22917477046
160,sarscov2,28,deaths,2.0,2.0,0.5,64889.36195422404,238.81827773029937,9608.177809536308,238.81827773029937,375,99140.14062612352
161,sarscov2,28,deaths,2.0,2.0,0.9,470.4357043434012,2.215755086416846,75.40312444719302,2.215755086416846,180,96767.32214245584
162,sarscov2,7,cases,0.0,0.0,0.25,94108.90111345668,600.4094834027405,30086.88221586075,600.4094834027405,217,0.0
163,sarscov2,7,cases,0.0,0.0,0.5,94108.90111345668,600.4094834027405,30086.88221586075,600.4094834027405,217,0.0
164,sarscov2,7,cases,0.0,0.0,0.9,94108.90111345668,600.4094834027405,30086.88221586075,600.4094834027405,217,0.0
165,sarscov2,7,cases,0.0,1.0,0.25,91428.16174481114,536.6406237309087,26779.839400569046,536.6406237309087,231,51907.530047446744
166,sarscov2,7,cases,0.0,1.0,0.5,84968.23576618961,459.69449475323114,22050.360193972974,459.69449475323114,251,54073.929234285475
167,sarscov2,7,cases,0.0,1.0,0.9,53674.20848784255,303.07265453791587,11067.48170186146,303.07265453791587,275,66377.85046508719
168,sarscov2,7,cases,0.0,2.0,0.25,89870.09306874467,501.53349566979455,24878.34829071416,501.53349566979455,241,69015.15262867213
169,sarscov2,7,cases,0.0,2.0,0.5,78250.27176441764,373.7952619848421,17051.59040214627,373.7952619848421,286,73272.01853230376
170,sarscov2,7,cases,0.0,2.0,0.9,13483.864806335145,68.49120794238664,1701.6112335310743,68.49120794238664,324,89965.88953300155
171,sarscov2,7,cases,1.0,0.0,0.25,91010.02898775166,527.5057337978067,26382.70361335372,527.5057337978067,232,67413.7241771022
172,sarscov2,7,cases,1.0,0.0,0.5,83725.97222703684,443.0238283211568,21273.579206404334,443.0238283211568,254,70799.25214366765
173,sarscov2,7,cases,1.0,0.0,0.9,51635.45826102901,289.5128136478206,10512.261589008733,289.5128136478206,273,73580.0003213479
174,sarscov2,7,cases,1.0,1.0,0.25,89360.0321803814,490.8172149380839,24371.93773851359,490.8172149380839,243,81704.41805437671
175,sarscov2,7,cases,1.0,1.0,0.5,76326.02782027816,351.891046004813,16006.561178019638,351.891046004813,292,86631.12705851358
176,sarscov2,7,cases,1.0,1.0,0.9,11132.381562013572,56.028131696621614,1424.4246805411283,56.028131696621614,309,92606.66837178975
177,sarscov2,7,cases,1.0,2.0,0.25,88384.38500922243,469.7784358745028,23173.84894351504,469.7784358745028,250,87625.7781398168
