,pathogen,memory_window,behaviour_function,r,alpha,vaccine_efficacy,final_cases,final_deaths,peak_cases,peak_deaths,epidemic_duration,vaccinations_administered
66,sarscov2,0,deaths,1.0,1.0,0.25,89289.46211559576,489.48149787717966,24325.987750208147,489.48149787717966,242,85061.75923919442
67,sarscov2,0,deaths,1.0,1.0,0.5,75881.30331353022,347.06770138707185,15878.370741248154,347.06770138707185,291,90992.903409661
68,sarscov2,0,deaths,1.0,1.0,0.9,12695.494453741756,63.86010249821554,1737.655997399339,63.86010249821554,294,94149.85294892051
69,sarscov2,0,deaths,1.0,1.5,0.25,88681.87878179814,476.39119025589093,23600.434431043534,476.39119025589093,247,89101.61114892988
70,sarscov2,0,deaths,1.0,1.5,0.5,72686.99690276207,312.7133419463164,13907.854484920625,312.7133419463164,310,94760.19898130735
71,sarscov2,0,deaths,1.0,1.5,0.9,4671.157571404421,22.8602088172036,630.012728249092,22.8602088172036,267,95988.8991148197
72,sarscov2,0,deaths,1.0,2.0,0.25,88194.94395771716,466.0154180916128,22995.378463093068,466.0154180916128,250,91596.57325679385
73,sarscov2,0,deaths,1.0,2.0,0.5,69998.0489798775,285.690487357129,12337.54842718301,285.690487357129,329,96801.18339879192
74,sarscov2,0,deaths,1.0,2.0,0.9,1975.5313787613309,9.517108236474042,280.27306449020443,9.517108236474042,234,96550.18015546651
75,sarscov2,0,deaths,2.0,0.0,0.25,88829.27461954381,479.7902179799868,23830.89705500885,479.7902179799868,245,90602.16555768793
76,sarscov2,0,deaths,2.0,0.0,0.5,74230.44337282961,329.085496674954,14907.75171982783,329.085496674954,300,94532.7189258973
77,sarscov2,0,deaths,2.0,0.0,0.9,9113.497963060046,45.46805498902289,1189.1918257059497,45.46805498902289,295,94636.3268400189
78,sarscov2,0,deaths,2.0,0.5,0.25,88261.72481147145,467.6949239477692,23150.780551531316,467.6949239477692,249,93425.06334887822
79,sarscov2,0,deaths,2.0,0.5,0.5,71094.3127977025,296.61291995148474,13047.55072723281,296.61291995148474,320,97166.38447457939
80,sarscov2,0,deaths,2.0,0.5,0.9,3287.5388924516187,16.03451994475279,436.97830919788277,16.03451994475279,261,95981.10653104253
81,sarscov2,0,deaths,2.0,1.0,0.25,87812.44481554626,458.20359317145596,22594.142184334392,458.20359317145596,253,95190.0465968571
82,sarscov2,0,deaths,2.0,1.0,0.5,68503.69432382954,271.4974237721065,11583.714175332349,271.4974237721065,340,98455.92890463125
83,sarscov2,0,deaths,2.0,1.0,0.9,1445.3084948744806,6.95222295972653,204.4002660221885,6.95222295972653,227,96417.0812229075
84,sarscov2,0,deaths,2.0,1.5,0.25,87453.79410649845,450.67477190280795,22155.290190621094,450.67477190280795,256,96309.71733191382
85,sarscov2,0,deaths,2.0,1.5,0.5,66414.91363353774,252.30377500047177,10443.749307677988,252.30377500047177,359,99101.07269187747
86,sarscov2,0,deaths,2.0,1.5,0.9,768.7382108818706,3.6568173462844773,116.05445202869022,3.6568173462844773,201,96705.52719505972
